time,type,address,beforeTCBalance,beforeUserBalance,afterTCBalance,afterUserBalance
0,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0,999.83487598,0.1,999.732088389703627654
0.0025,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.1,999.732088389703627654,0.2,999.629412742934958374
0.005,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.2,999.629412742934958374,0.3,999.526783108308822664
0.0075,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.3,999.526783108308822664,0.4,999.424202498619743309
0.01,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.4,999.424202498619743309,0.5,999.321649272686704509
0.0125,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.5,999.321649272686704509,0.6,999.219135889378563958
0.015,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.6,999.219135889378563958,0.7,999.116650366553475093
0.0175,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.7,999.116650366553475093,0.8,999.014197490667199509
0.02,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.8,999.014197490667199509,0.9,998.911750127677638987
0.0225,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,0.9,998.911750127677638987,1,998.80932988226814698
0.025,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1,998.80932988226814698,1.1,998.706926598915276015
0.0275,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.1,998.706926598915276015,1.2,998.604546015688249101
0.03,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.2,998.604546015688249101,1.3,998.502170818532997339
0.0325,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.3,998.502170818532997339,1.4,998.399814981709139567
0.035,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.4,998.399814981709139567,1.5,998.297469380071463699
0.0375,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.5,998.297469380071463699,1.6,998.195140485150229881
0.04,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.6,998.195140485150229881,1.7,998.092796338235266361
0.0425,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.7,998.092796338235266361,1.8,997.990466902152092927
0.045,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.8,997.990466902152092927,1.9,997.888143739777544581
0.0475,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,1.9,997.888143739777544581,2,997.785833673672255093
0.05,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2,997.785833673672255093,2.1,997.683520891957935818
0.0525,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.1,997.683520891957935818,2.2,997.581219965420701116
0.055,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.2,997.581219965420701116,2.3,997.47892285932678014
0.0575,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.3,997.47892285932678014,2.4,997.376636631471967612
0.06,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.4,997.376636631471967612,2.5,997.274338209107367573
0.0625,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.5,997.274338209107367573,2.6,997.172049922131700569
0.065,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.6,997.172049922131700569,2.7,997.069763978569371389
0.0675,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.7,997.069763978569371389,2.8,996.967487577690164819
0.07,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.8,996.967487577690164819,2.9,996.865205484508901235
0.0725,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,2.9,996.865205484508901235,3,996.762975450182965917
0.075,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3,996.762975450182965917,3.1,996.660746834413696307
0.0775,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.1,996.660746834413696307,3.2,996.558526925438180099
0.08,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.2,996.558526925438180099,3.3,996.456277703966694965
0.0825,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.3,996.456277703966694965,3.4,996.35403692716837592
0.085,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.4,996.35403692716837592,3.5,996.25179704128563262
0.0875,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.5,996.25179704128563262,3.6,996.149565384872372244
0.09,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.6,996.149565384872372244,3.7,996.047326965969411713
0.0925,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.7,996.047326965969411713,3.8,995.945096581142507857
0.095,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.8,995.945096581142507857,3.9,995.842866760529123397
0.0975,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,3.9,995.842866760529123397,4,995.74064487393308692
0.1,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4,995.74064487393308692,4.1,995.638408390131474334
0.1025,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.1,995.638408390131474334,4.2,995.536179741480685554
0.105,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.2,995.536179741480685554,4.3,995.433951460505283554
0.1075,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.3,995.433951460505283554,4.4,995.331730935786550611
0.11,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.4,995.331730935786550611,4.5,995.229503222558169071
0.1125,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.5,995.229503222558169071,4.6,995.127283204983397831
0.115,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.6,995.127283204983397831,4.7,995.025063465352111321
0.1175,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.7,995.025063465352111321,4.8,994.922851343657697837
0.12,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.8,994.922851343657697837,4.9,994.82061677553361835
0.1225,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,4.9,994.82061677553361835,5,994.718389819533682994
0.125,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5,994.718389819533682994,5.1,994.61616303978828119
0.1275,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.1,994.61616303978828119,5.2,994.513943843167981465
0.13,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.2,994.513943843167981465,5.3,994.411717313217253929
0.1325,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.3,994.411717313217253929,5.4,994.30949834411519313
0.135,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.4,994.30949834411519313,5.5,994.207279507250679265
0.1375,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.5,994.207279507250679265,5.6,994.105068213702877545
0.14,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.6,994.105068213702877545,5.7,994.002842004680202985
0.1425,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.7,994.002842004680202985,5.8,993.900623325655370493
0.145,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.8,993.900623325655370493,5.9,993.798404752392040214
0.1475,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,5.9,993.798404752392040214,6,993.69619369849779792
0.15,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6,993.69619369849779792,6.1,993.593975257937643777
0.1525,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.1,993.593975257937643777,6.2,993.491764328583344065
0.155,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.2,993.491764328583344065,6.3,993.389553488861012265
0.1575,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.3,993.389553488861012265,6.4,993.287350153919341302
0.16,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.4,993.287350153919341302,6.5,993.185108838117785782
0.1625,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.5,993.185108838117785782,6.6,993.082875022380892932
0.165,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.6,993.082875022380892932,6.7,992.980641286722003286
0.1675,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.7,992.980641286722003286,6.8,992.87841504719929799
0.17,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.8,992.87841504719929799,6.9,992.776181431586638115
0.1725,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,6.9,992.776181431586638115,7,992.673955279090734355
0.175,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7,992.673955279090734355,7.1,992.571729200708597559
0.1775,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.1,992.571729200708597559,7.2,992.4695106130696415
0.18,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.2,992.4695106130696415,7.3,992.3672770671445009
0.1825,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.3,992.3672770671445009,7.4,992.265051010156991416
0.185,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.4,992.265051010156991416,7.5,992.16282502369475909
0.1875,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.5,992.16282502369475909,7.6,992.060606554730827774
0.19,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.6,992.060606554730827774,7.7,991.958380672447099374
0.1925,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.7,991.958380672447099374,7.8,991.856162246554273451
0.195,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.8,991.856162246554273451,7.9,991.753943889001313529
0.1975,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,7.9,991.753943889001313529,8,991.651733046969165737
0.2,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8,991.651733046969165737,8.1,991.549499599829297673
0.2025,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.1,991.549499599829297673,8.2,991.447273637555964473
0.205,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.2,991.447273637555964473,8.3,991.345047742314028585
0.2075,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.3,991.345047742314028585,8.4,991.242829331408696172
0.21,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.4,991.242829331408696172,8.5,991.140603504539760266
0.2125,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.5,991.140603504539760266,8.6,991.038385161601174854
0.215,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.6,991.038385161601174854,8.7,990.936166914890165459
0.2175,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.7,990.936166914890165459,8.8,990.833956151789074837
0.22,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.8,990.833956151789074837,8.9,990.731730394591889637
0.2225,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,8.9,990.731730394591889637,9,990.629512120761841499
0.225,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9,990.629512120761841499,9.1,990.527293912675520323
0.2275,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.1,990.527293912675520323,9.2,990.425083187762416195
0.23,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.2,990.425083187762416195,9.3,990.32286504591220493
0.2325,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.3,990.32286504591220493,9.4,990.22065441708605518
0.235,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.4,990.22065441708605518,9.5,990.118443823709157896
0.2375,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.5,990.118443823709157896,9.6,990.016240713239368986
0.24,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.6,990.016240713239368986,9.7,989.914007348082560956
0.2425,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.7,989.914007348082560956,9.8,989.811781465745386956
0.245,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.8,989.811781465745386956,9.9,989.709555648682501614
0.2475,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,9.9,989.709555648682501614,10,989.607337314367905629
0.25,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10,989.607337314367905629,10.1,989.505111592760935789
0.2525,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.1,989.505111592760935789,10.2,989.40289338384749397
0.255,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.2,989.40289338384749397,10.3,989.300675180099976884
0.2575,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.3,989.300675180099976884,10.4,989.198464459002575476
0.26,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.4,989.198464459002575476,10.5,989.096238773026835172
0.2625,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.5,989.096238773026835172,10.6,988.994020569667947164
0.265,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.6,988.994020569667947164,10.7,988.891802431409344139
0.2675,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.7,988.891802431409344139,10.8,988.789591775741726329
0.27,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.8,988.789591775741726329,10.9,988.687373702649944586
0.2725,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,10.9,988.687373702649944586,11,988.585163112129129582
0.275,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11,988.585163112129129582,11.1,988.482952616669346622
0.2775,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.1,988.482952616669346622,11.2,988.380749573764868019
0.28,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.2,988.380749573764868019,11.3,988.278523953404317579
0.2825,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.3,988.278523953404317579,11.4,988.176305815586680289
0.285,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.4,988.176305815586680289,11.5,988.074087772806319717
0.2875,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.5,988.074087772806319717,11.6,987.971877182559617873
0.29,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.6,987.971877182559617873,11.7,987.869659174840478732
0.2925,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.7,987.869659174840478732,11.8,987.767448679647723568
0.295,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.8,987.767448679647723568,11.9,987.665238219477076056
0.2975,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,11.9,987.665238219477076056,12,987.563035241826392395
0.3,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12,987.563035241826392395,12.1,987.460817299192428668
0.3025,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.1,987.460817299192428668,12.2,987.358606839073948012
0.305,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.2,987.358606839073948012,12.3,987.25639644396873321
0.3075,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.3,987.25639644396873321,12.4,987.15419353137532972
0.31,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.4,987.15419353137532972,12.5,987.051983201292221312
0.3125,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.5,987.051983201292221312,12.6,986.949780353719086775
0.315,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.6,986.949780353719086775,12.7,986.847577571153884413
0.3175,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.7,986.847577571153884413,12.8,986.745382271095928493
0.32,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.8,986.745382271095928493,12.9,986.643141166043038415
0.3225,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,12.9,986.643141166043038415,13,986.540907543495685618
0.325,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13,986.540907543495685618,13.1,986.438673985953694737
0.3275,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.1,986.438673985953694737,13.2,986.336447910916296677
0.33,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.2,986.336447910916296677,13.3,986.234214448382348047
0.3325,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.3,986.234214448382348047,13.4,986.131988438352074311
0.335,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.4,986.131988438352074311,13.5,986.029762493324472593
0.3375,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.5,986.029762493324472593,13.6,985.927544030799625813
0.34,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.6,985.927544030799625813,13.7,985.825310603277291538
0.3425,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.7,985.825310603277291538,13.8,985.723084658256812844
0.345,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.8,985.723084658256812844,13.9,985.620858778238115452
0.3475,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,13.9,985.620858778238115452,14,985.518640380721255631
0.35,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14,985.518640380721255631,14.1,985.416414565706120089
0.3525,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.1,985.416414565706120089,14.2,985.314196233191922761
0.355,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.2,985.314196233191922761,14.3,985.211977965678613156
0.3575,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.3,985.211977965678613156,14.4,985.10976718066623276
0.36,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.4,985.10976718066623276,14.5,985.007533818154619275
0.3625,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.5,985.007533818154619275,14.6,984.905307938143935051
0.365,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.6,984.905307938143935051,14.7,984.803082123134141465
0.3675,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.7,984.803082123134141465,14.8,984.700863790625268135
0.37,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.8,984.700863790625268135,14.9,984.598638040617255435
0.3725,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,14.9,984.598638040617255435,15,984.496419773110156979
0.375,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15,984.496419773110156979,15.1,984.394201570603058731
0.3775,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.1,984.394201570603058731,15.2,984.291990880595984523
0.38,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.2,984.291990880595984523,15.3,984.189765225588862427
0.3825,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.3,984.189765225588862427,15.4,984.087547053081764275
0.385,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.4,984.087547053081764275,15.5,983.985328915574666235
0.3875,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.5,983.985328915574666235,15.6,983.883118260567592139
0.39,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.6,983.883118260567592139,15.7,983.780900188060494307
0.3925,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.7,983.780900188060494307,15.8,983.678689598053420419
0.395,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.8,983.678689598053420419,15.9,983.576479073046346739
0.3975,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,15.9,983.576479073046346739,16,983.474276030539297003
0.4,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16,983.474276030539297003,16.1,983.372042763032150547
0.4025,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.1,983.372042763032150547,16.2,983.269816948025027939
0.405,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.2,983.269816948025027939,16.3,983.167591198017905539
0.4075,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.3,983.167591198017905539,16.4,983.065372930510807083
0.41,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.4,983.065372930510807083,16.5,982.963147245503684891
0.4125,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.5,982.963147245503684891,16.6,982.860929042996586643
0.415,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.6,982.860929042996586643,16.7,982.758710905489488603
0.4175,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.7,982.758710905489488603,16.8,982.656500250482414507
0.42,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.8,982.656500250482414507,16.9,982.554274630475292523
0.4225,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,16.9,982.554274630475292523,17,982.452056522968194579
0.425,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17,982.452056522968194579,17.1,982.349838450461096747
0.4275,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.1,982.349838450461096747,17.2,982.247627860454022859
0.43,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.2,982.247627860454022859,17.3,982.145409852946925235
0.4325,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.3,982.145409852946925235,17.4,982.043199327939851555
0.435,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.4,982.043199327939851555,17.5,981.940988867932778083
0.4375,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.5,981.940988867932778083,17.6,981.838785920425728651
0.44,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.6,981.838785920425728651,17.7,981.736560365418606875
0.4425,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.7,981.736560365418606875,17.8,981.634342292911509043
0.445,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.8,981.634342292911509043,17.9,981.532124285404411419
0.4475,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,17.9,981.532124285404411419,18,981.429913760397337739
0.45,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18,981.429913760397337739,18.1,981.327695817890240323
0.4525,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.1,981.327695817890240323,18.2,981.225485357883166851
0.455,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.2,981.225485357883166851,18.3,981.123274962876093587
0.4575,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.3,981.123274962876093587,18.4,981.021072050369044267
0.46,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.4,981.021072050369044267,18.5,980.918854172861947059
0.4625,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.5,980.918854172861947059,18.6,980.816643777854873795
0.465,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.6,980.816643777854873795,18.7,980.714433477847800835
0.4675,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.7,980.714433477847800835,18.8,980.612230630340751723
0.47,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.8,980.612230630340751723,18.9,980.510020365333678875
0.4725,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,18.9,980.510020365333678875,19,980.407817582826629971
0.475,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19,980.407817582826629971,19.1,980.305614865319581275
0.4775,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.1,980.305614865319581275,19.2,980.203419630312556523
0.48,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.2,980.203419630312556523,19.3,980.101186397805410179
0.4825,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.3,980.101186397805410179,19.4,979.998960677798287875
0.485,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.4,979.998960677798287875,19.5,979.896734992791165683
0.4875,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.5,979.896734992791165683,19.6,979.794516820284067531
0.49,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.6,979.794516820284067531,19.7,979.692291200276945547
0.4925,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.7,979.692291200276945547,19.8,979.590073122769847699
0.495,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.8,979.590073122769847699,19.9,979.487855050262749867
0.4975,deposit,0x8ea3a86ae641497140416628ce64d1959b208b06,19.9,979.487855050262749867,20,979.385644490255676075
